employeeExternalId,locationId,locationExternalId,type,currentBalance,availableBalance,accrued,carryOverBalance,taken
841677,4049fc59-6903-4004-b020-c9e327550c68,1478,CA Sick,14.43,14.43,0,14.43,0
836950,28557379-3233-40ca-ae9d-44be38d4d424,325,Sick Earned,8.88,8.88,0,8.88,0
814261,97d120d6-e8fb-4594-8ca6-5bf7b932f8a1,311,Sick Earned,20.95,20.95,0,20.95,0
824115,2643018d-0b17-4936-afb4-290609ef1e5a,8083,Sick Earned,13.15,13.15,0,13.15,0
843748,b8f38e14-76a6-4e66-bfb5-42ff6cbd05b8,8276,Sick Earned,2.4,2.4,0,2.4,0
825728,0e28c9b6-4b98-412c-85a4-aecb034aa9bd,813,Personal,11.5,11.5,0,11.5,0
846233,846a2586-bb9f-418f-8539-570779ede496,8008,Sick Earned,3.73,3.73,0,3.73,0
745047,fce4f2dd-017e-422c-8ed1-6b035c2548c9,8129,Personal,43,43,0,43,0
745047,fce4f2dd-017e-422c-8ed1-6b035c2548c9,8129,Vacation,36,36,0,36,0
745047,fce4f2dd-017e-422c-8ed1-6b035c2548c9,8129,Take 5 Day,9,9,0,9,0
844376,04960a61-bf92-4d6c-8420-5e587e8c79a4,1516,Vacation,16.38,16.38,0,16.38,0
844376,04960a61-bf92-4d6c-8420-5e587e8c79a4,1516,CA Sick,48,48,0,48,0
844376,04960a61-bf92-4d6c-8420-5e587e8c79a4,1516,Take 5 Day,8,8,0,8,0
844376,04960a61-bf92-4d6c-8420-5e587e8c79a4,1516,WOW Week,0,0,0,0,0
834029,f5186ef2-bf98-456c-9c8c-f3d728ac3940,129,Sick Earned,10.02,10.02,0,10.02,0
788457,9c363d3a-517e-416b-9974-e67cef0828e3,1437,CA Sick,29.82,29.82,0,29.82,0
736106,9fb266ba-602d-4825-abff-0c1b9f3915d1,1391,CA Sick,20,20,0,20,0
843858,0e6cf6fe-8f9a-4ba8-9f48-5ac90d99b45e,305,Sick Earned,0,0,0,0,0
503132,0f205103-34a8-4cd3-bda6-185b2bb01e61,209,Vacation,40,40,0,40,0
503132,0f205103-34a8-4cd3-bda6-185b2bb01e61,209,Personal,8,8,0,8,0
503132,0f205103-34a8-4cd3-bda6-185b2bb01e61,209,Take 5 Day,8,8,0,8,0
841574,57ce4150-d737-4f2b-95ad-1fce602d343e,7172,Personal,0,0,0,0,0
833879,43fd6673-015d-4862-9f2b-3402c39f2265,745,Sick Earned,8.72,8.72,0,8.72,0
738743,2f9666a4-c5a1-4dc5-bba6-c062b5771ebd,72026,Vacation,68,68,0,68,0
738743,2f9666a4-c5a1-4dc5-bba6-c062b5771ebd,72026,Personal,38,38,0,38,0
